Country Name,Worries for monthly expenses,Worries for medical costs,Worries for old age,Worries for educational fees,Worries for monthly expenses - Low income group,Worries for medical costs - Low income group,Worries for old age - Low income group,Worries for educational fees - Low income group,Worries for monthly expenses - High income group,Worries for medical costs - High income group,Worries for old age - High income group,Worries for educational fees - High income group
Albania,-0.9141932592542927,-1.414569367781056,0.04078861297764647,0.1800774753173924,-0.6399975439254395,-0.4274824919489491,-0.9719329320843687,-0.4276651785630173,-0.9553713945672875,-0.9144338442325814,0.3883171587432639,0.08126920803939752
Algeria,-2.564136395085366,-1.496499976217618,1.417552034392444,-0.9424460040836067,-2.374824018157038,-1.052547076082224,0.9363123166862133,-0.6028761640334732,-1.910930888584538,-1.734018723215259,2.502831282107365,-1.244892909447475
Argentina,-0.5423449038387966,-0.4806903134511744,1.112738974060921,1.475692841844255,0.1310945966553589,0.4435240909549698,0.2553508407263756,0.233581563920723,0.04420057223774077,0.201340138046894,1.715336701157484,2.07702433099867
Armenia,-0.9257301760568064,-0.294069244282712,0.4804405107170973,-1.127267336763276,-1.235786304831547,-0.6725984044964473,1.080740058576204,-1.60222078020866,-1.109922372386434,-1.450286283632836,0.9126767228978578,-1.580104710777029
Australia,5.573242651639316,1.400403339722257,1.51296993321656,3.6434441668837,3.523294132031225,1.211172784300811,1.970371796549894,4.449671715530984,4.247418858405281,1.825569132795795,1.831123674748834,3.313325564058858
Austria,5.244723331443055,1.329701760702492,1.893454063441976,3.186341616975096,4.594377643243192,0.6987516939979357,1.759819907811677,4.626187706264288,4.389871773620806,2.015665298661715,1.893163352373272,2.357716059380584
Bangladesh,-3.046034984895595,-1.589466167006185,-0.8691227572459079,-2.922220040528416,-2.924263200324878,-1.349418351530853,-2.188417739894238,-4.014165350117821,-3.042851454383793,-0.7736232471422122,-1.473502772593863,-3.16695130122263
Belgium,6.664751101972882,1.253583174240649,2.654755517425303,3.891008778715733,3.353885834168102,1.766006385541641,3.150298924529451,5.017931090938964,7.379029749487854,0.8481873005211753,2.63394465304043,4.031187579456265
Benin,-1.28127084379946,-0.7555003616329321,-1.433581669736008,-2.541024181630692,-2.463276282344456,0.1964188636822159,-0.6738530321624072,-2.671703647190212,-2.186189694229927,-1.081846894238438,-3.152258607741612,-2.148907206046946
Bolivia,-1.931778439475047,-0.8863132475580018,-1.716332964575028,0.6138289395614565,-0.7121418433700165,-0.688339640939892,-0.7945951402905918,-0.8304517986000652,-2.598036947378596,-1.106295116704379,-2.619481594542457,0.6847187039352249
